"Longitude","Latitude","HabitatSuitability"
-67.125,44.875,2.22044604925031e-16
-66.875,44.875,2.22044604925031e-16
-66.625,44.875,2.22044604925031e-16
-66.375,44.875,2.22044604925031e-16
-66.125,44.875,2.22044604925031e-16
-65.875,44.875,2.22044604925031e-16
-65.625,44.875,2.22044604925031e-16
-65.375,44.875,2.22044604925031e-16
-62.625,44.875,2.22044604925031e-16
-62.375,44.875,2.22044604925031e-16
-62.125,44.875,2.22044604925031e-16
-61.875,44.875,2.22044604925031e-16
-61.625,44.875,2.22044604925031e-16
-61.375,44.875,2.22044604925031e-16
-61.125,44.875,2.22044604925031e-16
-60.875,44.875,2.22044604925031e-16
-60.625,44.875,2.22044604925031e-16
-60.375,44.875,2.22044604925031e-16
-60.125,44.875,2.22044604925031e-16
-59.875,44.875,2.22044604925031e-16
-59.625,44.875,2.22044604925031e-16
-59.375,44.875,2.22044604925031e-16
-59.125,44.875,2.22044604925031e-16
-58.875,44.875,2.22044604925031e-16
-58.625,44.875,2.22044604925031e-16
-58.375,44.875,2.22044604925031e-16
-58.125,44.875,2.22044604925031e-16
-57.875,44.875,2.22044604925031e-16
-57.625,44.875,2.22044604925031e-16
-57.375,44.875,2.22044604925031e-16
-57.125,44.875,2.22044604925031e-16
-56.875,44.875,2.22044604925031e-16
-56.625,44.875,2.22044604925031e-16
-56.375,44.875,2.22044604925031e-16
-56.125,44.875,2.22044604925031e-16
-55.875,44.875,2.22044604925031e-16
-55.625,44.875,2.22044604925031e-16
-55.375,44.875,2.22044604925031e-16
-55.125,44.875,2.22044604925031e-16
-54.875,44.875,2.22044604925031e-16
-54.625,44.875,2.22044604925031e-16
-54.375,44.875,2.22044604925031e-16
-54.125,44.875,2.22044604925031e-16
-53.875,44.875,2.22044604925031e-16
-53.625,44.875,2.22044604925031e-16
-53.375,44.875,2.22044604925031e-16
-53.125,44.875,2.22044604925031e-16
-52.875,44.875,2.22044604925031e-16
-52.625,44.875,2.22044604925031e-16
-52.375,44.875,2.22044604925031e-16
-52.125,44.875,2.22044604925031e-16
-51.875,44.875,2.22044604925031e-16
-51.625,44.875,2.22044604925031e-16
-51.375,44.875,2.22044604925031e-16
-51.125,44.875,2.22044604925031e-16
-50.875,44.875,2.22044604925031e-16
-50.625,44.875,2.22044604925031e-16
-50.375,44.875,2.22044604925031e-16
-50.125,44.875,2.22044604925031e-16
-49.875,44.875,2.22044604925031e-16
-49.625,44.875,2.22044604925031e-16
-49.375,44.875,2.22044604925031e-16
-49.125,44.875,2.22044604925031e-16
-48.875,44.875,2.22044604925031e-16
-48.625,44.875,2.22044604925031e-16
-48.375,44.875,2.22044604925031e-16
-48.125,44.875,2.22044604925031e-16
-47.875,44.875,2.22044604925031e-16
-47.625,44.875,2.22044604925031e-16
-47.375,44.875,2.22044604925031e-16
-47.125,44.875,2.22044604925031e-16
-46.875,44.875,2.22044604925031e-16
-46.625,44.875,2.22044604925031e-16
-46.375,44.875,2.22044604925031e-16
-46.125,44.875,2.22044604925031e-16
-45.875,44.875,2.22044604925031e-16
-45.625,44.875,2.22044604925031e-16
-45.375,44.875,2.22044604925031e-16
-45.125,44.875,2.22044604925031e-16
-44.875,44.875,2.22044604925031e-16
-44.625,44.875,2.22044604925031e-16
-44.375,44.875,2.22044604925031e-16
-44.125,44.875,2.22044604925031e-16
-43.875,44.875,2.22044604925031e-16
-43.625,44.875,2.22044604925031e-16
-43.375,44.875,2.22044604925031e-16
-43.125,44.875,2.22044604925031e-16
-42.875,44.875,2.22044604925031e-16
-42.625,44.875,1.17255692460259e-13
-42.375,44.875,5.49711101291428e-13
-42.125,44.875,5.9385222433983e-13
-41.875,44.875,2.0776750545709e-13
-41.625,44.875,1.72733558684822e-13
-41.375,44.875,2.22044604925031e-16
-41.125,44.875,6.08961828445914e-13
-40.875,44.875,2.22044604925031e-16
-40.625,44.875,2.22044604925031e-16
-40.375,44.875,2.54519143391349e-13
-40.125,44.875,2.50184394685535e-13
-39.875,44.875,1.20613425930866e-13
-39.625,44.875,5.14485643757917e-13
-39.375,44.875,1.46682113070368e-12
-39.125,44.875,1.69768203401449e-12
-38.875,44.875,1.01967349494525e-12
-38.625,44.875,3.4985832590359e-13
-38.375,44.875,1.4723684511192e-12
-38.125,44.875,1.17859509044665e-12
-37.875,44.875,4.01610775885297e-12
-37.625,44.875,7.13007864555637e-12
-37.375,44.875,4.12689197051841e-12
-37.125,44.875,1.62680416013194e-12
-36.875,44.875,3.88583479629667e-12
-36.625,44.875,4.0426715794406e-12
-36.375,44.875,5.2073527781471e-12
-36.125,44.875,4.6117727692252e-12
-35.875,44.875,5.39971192758948e-12
-35.625,44.875,6.41244566126908e-12
-35.375,44.875,1.01832708931937e-11
-35.125,44.875,1.23424742648481e-11
-34.875,44.875,5.90464569599769e-12
-34.625,44.875,1.49801664128812e-11
-34.375,44.875,9.92208745720369e-12
-34.125,44.875,2.65675606514471e-11
-33.875,44.875,3.79506738534818e-11
-33.625,44.875,2.78344534920816e-11
-33.375,44.875,1.0595986761619e-11
-33.125,44.875,7.96753114873372e-12
-32.875,44.875,8.54527820032258e-12
-32.625,44.875,6.58782360260513e-12
-32.375,44.875,3.08636167838106e-12
-32.125,44.875,5.17349357798125e-12
-31.875,44.875,4.05357431648712e-12
-31.625,44.875,6.2850440997464e-12
-31.375,44.875,5.0374166643552e-12
-31.125,44.875,5.24011996988483e-12
-30.875,44.875,4.37967023758645e-12
-30.625,44.875,6.58103996645232e-12
-30.375,44.875,5.64679553116676e-12
