"Longitude","Latitude","HabitatSuitability"
49.125,30.125,0.000247960066189989
49.375,30.125,0.98856657743454
49.875,30.125,5.38442509423476e-05
48.375,29.875,0.0252835154533386
48.625,29.875,0.00126131053548306
48.875,29.875,7.55619694245979e-05
49.125,29.875,5.40239852853119e-06
49.375,29.875,0.456784725189209
49.625,29.875,0.312579900026321
49.875,29.875,0.000705611077137291
50.125,29.875,3.80888387496725e-09
32.375,29.625,2.22044604925031e-16
32.625,29.625,2.22044604925031e-16
48.375,29.625,8.49054777063429e-05
48.625,29.625,0.000170439496287145
48.875,29.625,3.39190810336731e-05
49.125,29.625,2.83521458186442e-05
49.375,29.625,0.971899211406708
49.625,29.625,7.96171480033081e-06
49.875,29.625,1.80613735079049e-09
50.125,29.625,9.1425325643435e-11
50.375,29.625,2.22044604925031e-16
32.625,29.375,2.22044604925031e-16
34.875,29.375,2.22044604925031e-16
47.875,29.375,8.1218450986853e-07
48.125,29.375,2.48324170115666e-07
48.375,29.375,8.77555351053161e-07
48.625,29.375,2.729992274908e-06
48.875,29.375,0.0031086893286556
49.125,29.375,0.00706925801932812
49.375,29.375,4.77531791887031e-08
49.625,29.375,2.8200972373299e-12
49.875,29.375,2.22044604925031e-16
50.125,29.375,2.22044604925031e-16
50.375,29.375,2.22044604925031e-16
50.625,29.375,2.22044604925031e-16
32.875,29.125,2.22044604925031e-16
34.875,29.125,2.22044604925031e-16
48.375,29.125,4.44843135483097e-06
48.625,29.125,2.53983016591519e-05
48.875,29.125,0.966619193553925
49.125,29.125,1.01195949397948e-08
49.375,29.125,2.22044604925031e-16
49.625,29.125,2.22044604925031e-16
49.875,29.125,2.22044604925031e-16
50.125,29.125,2.22044604925031e-16
50.375,29.125,2.22044604925031e-16
50.625,29.125,2.22044604925031e-16
32.875,28.875,2.22044604925031e-16
33.125,28.875,2.22044604925031e-16
48.375,28.875,3.16609271067136e-06
48.625,28.875,0.0129466177895665
48.875,28.875,0.000129824067698792
49.125,28.875,2.22044604925031e-16
49.375,28.875,2.22044604925031e-16
49.625,28.875,2.22044604925031e-16
49.875,28.875,2.22044604925031e-16
50.125,28.875,2.22044604925031e-16
50.375,28.875,2.22044604925031e-16
50.625,28.875,2.22044604925031e-16
32.875,28.625,2.22044604925031e-16
33.125,28.625,2.22044604925031e-16
34.625,28.625,2.22044604925031e-16
48.625,28.625,0.328094899654388
48.875,28.625,1.96190272686546e-13
49.125,28.625,2.22044604925031e-16
49.375,28.625,2.22044604925031e-16
49.625,28.625,2.22044604925031e-16
49.875,28.625,2.22044604925031e-16
50.125,28.625,2.22044604925031e-16
50.375,28.625,2.22044604925031e-16
50.625,28.625,2.22044604925031e-16
50.875,28.625,2.22044604925031e-16
33.125,28.375,2.22044604925031e-16
33.375,28.375,2.22044604925031e-16
34.625,28.375,2.22044604925031e-16
48.625,28.375,0.00103284989017993
48.875,28.375,0.0764513164758682
49.125,28.375,4.33193925175601e-10
49.375,28.375,2.22044604925031e-16
49.625,28.375,2.22044604925031e-16
49.875,28.375,2.22044604925031e-16
50.125,28.375,2.22044604925031e-16
50.375,28.375,2.22044604925031e-16
50.625,28.375,2.22044604925031e-16
50.875,28.375,2.22044604925031e-16
51.125,28.375,2.22044604925031e-16
33.375,28.125,2.22044604925031e-16
33.625,28.125,2.22044604925031e-16
48.625,28.125,6.27492772764526e-05
48.875,28.125,0.00597152020782232
49.125,28.125,0.512905418872833
49.375,28.125,3.63089305800354e-13
49.625,28.125,2.22044604925031e-16
49.875,28.125,2.22044604925031e-16
50.125,28.125,2.22044604925031e-16
50.375,28.125,2.22044604925031e-16
50.625,28.125,1.10426540144998e-13
50.875,28.125,1.07038282317479e-12
51.125,28.125,2.22044604925031e-16
33.625,27.875,2.22044604925031e-16
33.875,27.875,2.22044604925031e-16
34.375,27.875,2.22044604925031e-16
34.625,27.875,2.22044604925031e-16
34.875,27.875,2.22044604925031e-16
35.125,27.875,2.22044604925031e-16
48.875,27.875,1.63228778546909e-05
49.125,27.875,0.126157492399216
49.375,27.875,3.85285738957464e-06
49.625,27.875,2.22044604925031e-16
49.875,27.875,2.22044604925031e-16
50.125,27.875,2.22044604925031e-16
50.375,27.875,2.22044604925031e-16
50.625,27.875,2.03622795708069e-12
50.875,27.875,1.02500759616153e-11
51.125,27.875,2.15729135943921e-11
51.375,27.875,2.22044604925031e-16
33.625,27.625,2.22044604925031e-16
33.875,27.625,2.22044604925031e-16
34.125,27.625,2.22044604925031e-16
34.375,27.625,2.22044604925031e-16
34.625,27.625,2.22044604925031e-16
34.875,27.625,2.22044604925031e-16
35.125,27.625,2.22044604925031e-16
35.375,27.625,2.22044604925031e-16
48.875,27.625,3.58219199370069e-06
