"Longitude","Latitude","HabitatChange"
-67.125,44.875,0
-66.875,44.875,0
-66.625,44.875,0
-66.375,44.875,0
-66.125,44.875,0
-65.875,44.875,0
-65.625,44.875,0
-65.375,44.875,0
-62.625,44.875,0
-62.375,44.875,0
-62.125,44.875,0
-61.875,44.875,0
-61.625,44.875,0
-61.375,44.875,0
-61.125,44.875,0
-60.875,44.875,0
-60.625,44.875,0
-60.375,44.875,0
-60.125,44.875,0
-59.875,44.875,0
-59.625,44.875,0
-59.375,44.875,0
-59.125,44.875,0
-58.875,44.875,0
-58.625,44.875,0
-58.375,44.875,0
-58.125,44.875,0
-57.875,44.875,0
-57.625,44.875,0
-57.375,44.875,0
-57.125,44.875,0
-56.875,44.875,0
-56.625,44.875,0
-56.375,44.875,0
-56.125,44.875,0
-55.875,44.875,0
-55.625,44.875,0
-55.375,44.875,0
-55.125,44.875,0
-54.875,44.875,0
-54.625,44.875,0
-54.375,44.875,0
-54.125,44.875,0
-53.875,44.875,0
-53.625,44.875,0
-53.375,44.875,0
-53.125,44.875,0
-52.875,44.875,0
-52.625,44.875,0
-52.375,44.875,0
-52.125,44.875,0
-51.875,44.875,0
-51.625,44.875,0
-51.375,44.875,0
-51.125,44.875,0
-50.875,44.875,0
-50.625,44.875,0
-50.375,44.875,0
-50.125,44.875,0
-49.875,44.875,0
-49.625,44.875,0
-49.375,44.875,0
-49.125,44.875,0
-48.875,44.875,0
-48.625,44.875,0
-48.375,44.875,0
-48.125,44.875,0
-47.875,44.875,0
-47.625,44.875,0
-47.375,44.875,0
-47.125,44.875,0
-46.875,44.875,0
-46.625,44.875,0
-46.375,44.875,0
-46.125,44.875,0
-45.875,44.875,0
-45.625,44.875,0
-45.375,44.875,0
-45.125,44.875,0
-44.875,44.875,0
-44.625,44.875,0
-44.375,44.875,0
-44.125,44.875,1.78129334741685e-13
-43.875,44.875,4.51913842718782e-13
-43.625,44.875,1.03650464947092e-12
-43.375,44.875,2.70389721897246e-12
-43.125,44.875,5.55145165948012e-12
-42.875,44.875,1.40843430668225e-11
-42.625,44.875,1.92350493172233e-11
-42.375,44.875,3.21989102047837e-11
-42.125,44.875,5.60365781554495e-11
-41.875,44.875,3.53305752709421e-11
-41.625,44.875,2.77001650783593e-11
-41.375,44.875,1.89369821906871e-11
-41.125,44.875,8.78062969555948e-11
-40.875,44.875,9.77489183345837e-12
-40.625,44.875,1.98629151321184e-11
-40.375,44.875,4.05279143578241e-11
-40.125,44.875,3.02860965473162e-11
-39.875,44.875,3.0388649929769e-11
-39.625,44.875,9.42109515400524e-11
-39.375,44.875,1.08190206793424e-10
-39.125,44.875,7.9669333630239e-11
-38.875,44.875,4.96380089809456e-11
-38.625,44.875,4.48471051961441e-11
-38.375,44.875,6.54048135095842e-11
-38.125,44.875,6.60300494836896e-11
-37.875,44.875,3.74873916630936e-11
-37.625,44.875,6.3636464153749e-11
-37.375,44.875,3.07373709818037e-11
-37.125,44.875,2.15257690144854e-11
-36.875,44.875,6.9514317913022e-11
-36.625,44.875,7.21536302927817e-11
-36.375,44.875,2.25246765683806e-10
-36.125,44.875,2.14682438492986e-10
-35.875,44.875,2.51221599079088e-10
-35.625,44.875,5.27245691550604e-10
-35.375,44.875,6.348541692347e-10
-35.125,44.875,4.1556411090049e-10
-34.875,44.875,2.49300691201881e-10
-34.625,44.875,3.47045142623514e-10
-34.375,44.875,1.4364269496081e-10
-34.125,44.875,1.49740567167989e-10
-33.875,44.875,2.76626083151044e-10
-33.625,44.875,2.81338286001187e-10
-33.375,44.875,1.33691502313127e-10
-33.125,44.875,8.14316530872716e-11
-32.875,44.875,1.20039186923826e-10
-32.625,44.875,5.97369723132068e-11
-32.375,44.875,4.49130975466172e-11
-32.125,44.875,5.29455160269698e-11
-31.875,44.875,2.94974565606676e-11
-31.625,44.875,2.81266277629699e-11
-31.375,44.875,2.16618511322819e-11
-31.125,44.875,1.64077605668833e-11
-30.875,44.875,7.18862296078537e-12
-30.625,44.875,1.00284771806236e-11
-30.375,44.875,1.88874610396184e-11
-30.125,44.875,2.3974999069365e-11
-29.875,44.875,2.10817752144266e-11
-29.625,44.875,3.01257560564316e-11
-29.375,44.875,1.93315988217257e-11
-29.125,44.875,6.32919584797609e-12
-28.875,44.875,3.47938561642835e-12
-28.625,44.875,5.19744132714689e-13
-28.375,44.875,3.23200667617929e-13
-28.125,44.875,4.75592568799366e-12
-27.875,44.875,2.35641882525769e-13
-27.625,44.875,4.95595155625833e-13
-27.375,44.875,1.82693834019365e-12
-27.125,44.875,9.83064411125278e-12
-26.875,44.875,6.74486577700861e-11
-26.625,44.875,4.20922637023313e-11
-26.375,44.875,1.25211160884042e-10
-26.125,44.875,2.20960597041575e-10
-25.875,44.875,1.45341710888758e-10
-25.625,44.875,1.26960927882003e-10
-25.375,44.875,2.43648962117149e-10
-25.125,44.875,3.62046836954732e-10
-24.875,44.875,9.48814082857297e-11
-24.625,44.875,2.82827539166419e-10
-24.375,44.875,1.16658960269689e-10
-24.125,44.875,2.27246041428764e-10
-23.875,44.875,1.72342709547912e-10
-23.625,44.875,2.44892078837822e-10
-23.375,44.875,2.3928231618342e-10
-23.125,44.875,3.04944264284401e-10
-22.875,44.875,5.10418429744419e-10
-22.625,44.875,4.01689181916964e-10
-22.375,44.875,2.43838199631696e-10
-22.125,44.875,2.11043182929416e-10
-21.875,44.875,1.80515768999356e-10
-21.625,44.875,1.0399720667964e-10
-21.375,44.875,8.44191730409172e-11
-21.125,44.875,5.18809752103611e-11
-20.875,44.875,2.73860916583102e-11
-20.625,44.875,1.12986399750103e-11
-20.375,44.875,7.65431207999656e-12
-20.125,44.875,2.81014773083343e-12
-19.875,44.875,1.31114919268982e-11
-19.625,44.875,1.20602815928406e-11
-19.375,44.875,5.4497378831897e-12
-19.125,44.875,2.82129354600702e-12
-18.875,44.875,4.03699859999329e-12
-18.625,44.875,9.31372513834905e-12
-18.375,44.875,3.61854903679903e-12
-18.125,44.875,2.8120301226453e-12
-17.875,44.875,2.2749749133133e-12
-17.625,44.875,2.81700205696789e-12
-17.375,44.875,3.18963540475725e-12
-17.125,44.875,2.22906641061948e-11
-16.875,44.875,3.10893567834203e-11
-16.625,44.875,1.08595112069398e-11
-16.375,44.875,1.68944840756025e-11
-16.125,44.875,2.49633508309088e-11
-15.875,44.875,1.63187519053309e-11
-15.625,44.875,1.81262262144433e-11
-15.375,44.875,2.20673323364506e-11
-15.125,44.875,1.24479957591683e-11
-14.875,44.875,3.77808158022463e-12
-14.625,44.875,2.18964126344479e-12
-14.375,44.875,7.31940495626165e-13
-14.125,44.875,6.04476646688668e-13
-13.875,44.875,2.34984319329168e-12
-13.625,44.875,3.92840491039714e-12
-13.375,44.875,3.22893729982898e-12
-13.125,44.875,3.49129557729311e-12
-12.875,44.875,3.0306154721188e-12
-12.625,44.875,3.95833973237947e-12
-12.375,44.875,3.56709713850156e-12
-12.125,44.875,1.80602408028641e-12
-11.875,44.875,1.09338352174276e-12
-11.625,44.875,3.2683195884918e-13
-11.375,44.875,5.79676660405343e-13
-11.125,44.875,1.6818168494144e-13
-10.875,44.875,0
-10.625,44.875,0
-10.375,44.875,0
-10.125,44.875,0
-9.875,44.875,0
-9.625,44.875,0
-9.375,44.875,0
-9.125,44.875,0
-8.875,44.875,0
-8.625,44.875,0
-8.375,44.875,0
-8.125,44.875,0
-7.875,44.875,0
-7.625,44.875,0
-7.375,44.875,0
-7.125,44.875,0
-6.875,44.875,0
-6.625,44.875,0
-6.375,44.875,0
-6.125,44.875,0
-5.875,44.875,0
-5.625,44.875,0
-5.375,44.875,0
-5.125,44.875,0
-4.875,44.875,0
-4.625,44.875,0
-4.375,44.875,0
-4.125,44.875,0
-3.875,44.875,0
-3.625,44.875,0
-3.375,44.875,0
-3.125,44.875,0
-2.875,44.875,0
-2.625,44.875,0
-2.375,44.875,0
-2.125,44.875,0
-1.875,44.875,0
-1.625,44.875,0
-1.375,44.875,0
-1.125,44.875,0
-67.875,44.625,0
-67.625,44.625,0
-67.375,44.625,0
-67.125,44.625,0
-66.875,44.625,0
-66.625,44.625,0
-66.375,44.625,0
-66.125,44.625,0
-65.875,44.625,0
-64.375,44.625,0
-64.125,44.625,0
-63.875,44.625,0
-63.375,44.625,0
-63.125,44.625,0
-62.875,44.625,0
-62.625,44.625,0
-62.375,44.625,0
-62.125,44.625,0
-61.875,44.625,0
-61.625,44.625,0
-61.375,44.625,0
-61.125,44.625,0
-60.875,44.625,0
-60.625,44.625,0
-60.375,44.625,0
-60.125,44.625,0
-59.875,44.625,0
-59.625,44.625,0
-59.375,44.625,0
-59.125,44.625,0
-58.875,44.625,0
-58.625,44.625,0
-58.375,44.625,0
-58.125,44.625,0
-57.875,44.625,0
-57.625,44.625,0
-57.375,44.625,0
-57.125,44.625,0
-56.875,44.625,0
-56.625,44.625,0
-56.375,44.625,0
-56.125,44.625,0
-55.875,44.625,0
-55.625,44.625,0
-55.375,44.625,0
-55.125,44.625,0
-54.875,44.625,0
-54.625,44.625,0
-54.375,44.625,0
-54.125,44.625,0
-53.875,44.625,0
-53.625,44.625,0
-53.375,44.625,0
-53.125,44.625,0
-52.875,44.625,0
-52.625,44.625,0
-52.375,44.625,0
-52.125,44.625,0
-51.875,44.625,0
-51.625,44.625,0
-51.375,44.625,0
-51.125,44.625,0
-50.875,44.625,0
-50.625,44.625,0
-50.375,44.625,0
-50.125,44.625,0
-49.875,44.625,0
-49.625,44.625,0
-49.375,44.625,0
-49.125,44.625,0
-48.875,44.625,0
-48.625,44.625,0
-48.375,44.625,0
-48.125,44.625,0
-47.875,44.625,0
-47.625,44.625,0
-47.375,44.625,0
-47.125,44.625,0
-46.875,44.625,0
-46.625,44.625,0
-46.375,44.625,0
-46.125,44.625,0
-45.875,44.625,0
-45.625,44.625,0
-45.375,44.625,0
-45.125,44.625,0
-44.875,44.625,0
-44.625,44.625,0
-44.375,44.625,0
-44.125,44.625,2.40064099241849e-13
-43.875,44.625,3.63758394066049e-13
-43.625,44.625,5.23385534131199e-13
-43.375,44.625,1.583573550068e-12
-43.125,44.625,4.92474247146268e-12
-42.875,44.625,1.05952226159278e-11
-42.625,44.625,1.99318062055198e-11
-42.375,44.625,2.29280778391017e-11
-42.125,44.625,2.92302744508977e-11
-41.875,44.625,1.1269003091785e-11
-41.625,44.625,6.82923986458639e-12
-41.375,44.625,3.03013105058814e-12
-41.125,44.625,6.96411539546915e-11
-40.875,44.625,1.79762454921573e-11
-40.625,44.625,3.64009274111954e-11
-40.375,44.625,8.24324497550322e-11
-40.125,44.625,6.28360349863577e-11
-39.875,44.625,1.22321264228731e-10
-39.625,44.625,1.6514593859096e-10
-39.375,44.625,1.91290067119709e-10
-39.125,44.625,1.54347590264337e-10
-38.875,44.625,1.80338494137899e-10
-38.625,44.625,1.37188843618574e-10
-38.375,44.625,1.69061181720664e-10
-38.125,44.625,2.91909857397243e-10
-37.875,44.625,2.49278486741389e-10
-37.625,44.625,9.43085123883414e-11
-37.375,44.625,1.18543064253629e-10
-37.125,44.625,1.19971768630656e-10
-36.875,44.625,1.79581780002103e-10
-36.625,44.625,4.22401613686674e-10
-36.375,44.625,6.04673144888324e-10
-36.125,44.625,6.90505819189724e-10
-35.875,44.625,1.10061604274847e-09
-35.625,44.625,1.12356957071569e-09
-35.375,44.625,1.1936230892573e-09
-35.125,44.625,9.60381774106622e-10
-34.875,44.625,4.14595441311505e-10
-34.625,44.625,4.07958916648354e-10
-34.375,44.625,1.64763151039304e-11
-34.125,44.625,6.0776700512577e-12
-33.875,44.625,4.23477364286384e-11
-33.625,44.625,3.05347525042521e-10
-33.375,44.625,2.26698604333109e-10
-33.125,44.625,2.24648549762563e-10
-32.875,44.625,1.98817351471092e-10
-32.625,44.625,9.65884039416665e-11
-32.375,44.625,1.2379762492909e-10
-32.125,44.625,6.78637840367813e-11
-31.875,44.625,4.37460553892599e-11
-31.625,44.625,6.57848359120194e-11
-31.375,44.625,6.07888739345697e-11
-31.125,44.625,4.6246763363289e-11
-30.875,44.625,3.52608428566548e-11
-30.625,44.625,1.75914751515682e-11
-30.375,44.625,1.73966240718526e-11
-30.125,44.625,2.3865779144594e-11
-29.875,44.625,1.77756941110996e-11
-29.625,44.625,2.54817313083411e-11
-29.375,44.625,2.8430339679697e-11
-29.125,44.625,4.54041769459845e-11
-28.875,44.625,8.89418053096058e-12
-28.625,44.625,8.46013309321186e-13
-28.375,44.625,1.5944806239232e-12
-28.125,44.625,4.59325008583811e-11
-27.875,44.625,7.13431971919448e-13
-27.625,44.625,2.24780697527516e-12
-27.375,44.625,1.12584741876476e-11
-27.125,44.625,4.2755757267976e-11
-26.875,44.625,9.6266453142313e-11
-26.625,44.625,1.69648836645386e-10
-26.375,44.625,8.18191348006536e-11
-26.125,44.625,9.23236001537653e-11
-25.875,44.625,1.64477320652168e-10
-25.625,44.625,2.13308856689132e-10
-25.375,44.625,8.91364152627583e-12
-25.125,44.625,2.40190298206322e-11
-24.875,44.625,3.60606489113735e-10
-24.625,44.625,7.48950734763554e-10
-24.375,44.625,5.77575522131557e-11
-24.125,44.625,4.57414467414097e-10
-23.875,44.625,6.65143440325977e-10
-23.625,44.625,3.41973782624905e-10
-23.375,44.625,4.83713957777354e-10
-23.125,44.625,5.28041832481563e-10
-22.875,44.625,1.06824082912738e-09
-22.625,44.625,8.72237615467952e-10
-22.375,44.625,6.26203977560635e-10
-22.125,44.625,4.89554563554151e-10
-21.875,44.625,4.12350265044381e-10
-21.625,44.625,2.74428368918223e-10
-21.375,44.625,2.585078817674e-10
-21.125,44.625,1.59365465268735e-10
-20.875,44.625,7.33998972712868e-11
-20.625,44.625,1.88090012315234e-11
-20.375,44.625,9.08664463117326e-12
-20.125,44.625,8.92465094881612e-12
-19.875,44.625,1.44193120985014e-11
-19.625,44.625,7.69595324967565e-12
-19.375,44.625,1.67979796739104e-11
-19.125,44.625,2.65467292245858e-12
-18.875,44.625,1.93061469588862e-11
-18.625,44.625,4.75668072638658e-12
-18.375,44.625,7.48265685523997e-12
-18.125,44.625,4.52920513593913e-12
