"Longitude","Latitude","HabitatChange"
49.125,30.125,2.73715704679489e-05
49.375,30.125,0.0585262328386307
49.875,30.125,0
48.375,29.875,0
48.625,29.875,0
48.875,29.875,0
49.125,29.875,7.32360349502414e-05
49.375,29.875,-0.0872818008065224
49.625,29.875,-2.80705947375282e-09
49.875,29.875,0
50.125,29.875,0
32.375,29.625,0
32.625,29.625,0
48.375,29.625,0
48.625,29.625,0
48.875,29.625,-0.000186200370080769
49.125,29.625,0.0980604439973831
49.375,29.625,-1.62623370325576e-09
49.625,29.625,0
49.875,29.625,0
50.125,29.625,0
50.375,29.625,0
32.625,29.375,0
34.875,29.375,0
47.875,29.375,0.00939412228763103
48.125,29.375,0.000370893394574523
48.375,29.375,0.000293679884634912
48.625,29.375,-0.000178875168785453
48.875,29.375,0.151584684848785
49.125,29.375,0
49.375,29.375,0
49.625,29.375,0
49.875,29.375,0
50.125,29.375,0
50.375,29.375,0
50.625,29.375,0
32.875,29.125,0
34.875,29.125,0
48.375,29.125,0.000978961703367531
48.625,29.125,0.00265333848074079
48.875,29.125,-0.0153804896399379
49.125,29.125,0
49.375,29.125,0
49.625,29.125,0
49.875,29.125,0
50.125,29.125,0
50.375,29.125,0
50.625,29.125,0
32.875,28.875,0
33.125,28.875,0
48.375,28.875,0.0392691195011139
48.625,28.875,-0.0465641766786575
48.875,28.875,0
49.125,28.875,0
49.375,28.875,0
49.625,28.875,0
49.875,28.875,0
50.125,28.875,0
50.375,28.875,0
50.625,28.875,0
32.875,28.625,0
33.125,28.625,0
34.625,28.625,0
48.625,28.625,-0.11020590364933
48.875,28.625,0
49.125,28.625,0
49.375,28.625,0
49.625,28.625,0
49.875,28.625,0
50.125,28.625,0
50.375,28.625,0
50.625,28.625,0
50.875,28.625,0
33.125,28.375,0
33.375,28.375,0
34.625,28.375,0
48.625,28.375,0.0433398485183716
48.875,28.375,-1.98081670532702e-05
49.125,28.375,0
49.375,28.375,0
49.625,28.375,0
49.875,28.375,0
50.125,28.375,0
50.375,28.375,0
50.625,28.375,0
50.875,28.375,0
51.125,28.375,0
